Plane,Azimuth,Dip,Dip_Direction,Normal_Stress,Shear_Stress,Rake,Rake_Dir,Movement,Vector_Valid
1,129.80635255516185,88.56683984082218,N,-0.30237346718398933,0.25198891678360597,21.60421627074946,E,N+RL,False
2,260.9894453871171,77.1023145924181,S,-0.5008038073616075,0.13521007173915436,36.60345258016102,E,I+LL,False
3,94.87036290095554,47.413735381547475,N,-0.6988496427886066,0.2755289994966997,58.3523498693026,W,I+RL,False
4,38.815355626255666,85.01247538865472,W,-0.24354156438771096,0.29453005468980226,41.882554016995655,S,I+LL,False
5,208.10814491330262,88.29249234602366,E,-0.12620206141269832,0.23416188504653052,32.46421143910644,S,N+LL,False
6,281.2903290707028,59.64505998166235,S,-0.6357813545207127,0.22922632596245204,88.27304901185889,W,I,False
7,350.4470509138091,78.53100375842978,W,-0.1454591447255874,0.3430559962426115,78.27475806143858,S,I+RL,False
8,126.04160239937164,56.97933528802098,N,-0.43322688443685486,0.3614229352749538,43.35924461158698,W,I+RL,False
9,280.64137606534916,53.895083798070296,S,-0.6827571258457561,0.24284383984417543,82.869491535729,W,I+LL,False
10,68.60503559598243,89.62764587735288,N,-0.4383083328105067,0.17167449231698956,22.55095858109489,W,I+LL,False
11,69.90506934018919,45.72208264179306,N,-0.7593084512220467,0.2640762646639989,89.22315911355085,E,I,False
12,237.50981405352294,81.05539328005058,S,-0.35085079265170493,0.232783455402063,1.3703452408630754,W,LL,False
13,15.403294005558791,70.3304693863332,W,-0.2705197714600551,0.42626247015567503,76.70785610945335,S,I+LL,False
14,326.61149638314674,84.44988407041285,W,-0.20739313294980358,0.29896198536614865,46.50444265042207,S,I+RL,False
15,54.902028114914515,52.862776319928216,N,-0.6671838451331432,0.3401408343099585,74.35427467035998,E,I+LL,False
16,69.4338216212231,43.136086501258234,N,-0.7830384182977003,0.2596901094210993,87.53279347346007,W,I,False
17,166.95788707630774,13.31570865588453,E,-0.8465910986148301,0.35944299032457844,80.17354742799289,N,I+RL,False
18,223.72762420499276,56.49287825708412,E,-0.3588368469637213,0.38343863748537826,47.114189499539144,N,I+LL,False
19,61.41432086892189,51.79188065620399,N,-0.6928683391634691,0.3062378606003954,78.27440999651192,W,I+LL,False
20,49.78551588812019,54.73547866841933,N,-0.630140262033724,0.3686117787607072,72.02605787230128,W,I+LL,False
21,106.35413896262759,87.3735364631134,N,-0.4594052883459585,0.13658816346845967,10.434071321183277,E,N+RL,False
22,277.9566207654432,73.17868215046242,S,-0.5442131013840646,0.15287459613870907,85.25586065239418,E,I,False
23,331.2748883074941,76.53856122144806,W,-0.2516255223326766,0.3656411907933677,61.68163900083798,N,I+RL,False
24,323.63948541249755,73.86069983051796,W,-0.3286924523421916,0.3735928047057481,59.91118394150763,S,I+RL,False
25,131.15360006481595,68.60274492170024,N,-0.30968968293697063,0.3015199114603871,28.990880273335428,E,I+RL,False
26,226.7348518379223,77.90653543863802,S,-0.2615839939814231,0.25770413336994225,7.704234010523788,E,I+LL,False
27,263.8879840623192,20.502879510824602,S,-0.8996061591777939,0.24493479621835593,43.83216111191817,E,I+LL,False
28,126.70726131122635,52.4733044933062,N,-0.4699925838101386,0.3847569711715986,47.067879311571254,W,I+RL,False
29,298.39008664868504,43.18675968541274,S,-0.7811795148445425,0.28340132484840785,84.97777410604351,W,I,False
30,301.1751022457058,67.70004444966591,S,-0.5220340510370457,0.3047243830643068,63.28034095441499,E,I+RL,False
31,3.7715937708257457,50.20819840751522,W,-0.5840792870169078,0.4922316753888302,88.07941708689836,S,I,False
32,159.49809224112738,46.794722276270555,E,-0.3413418239450532,0.4566554822957233,70.37752199562429,N,I+RL,False
33,56.57330873166853,39.10422384405301,N,-0.8184253254945395,0.2816557090349435,84.80705369984409,W,I,False
34,277.54269409292243,88.16047549513482,S,-0.4938372107615544,0.06725182862830374,34.1324306027356,E,I+RL,False
35,246.4369026987305,74.47012007387676,S,-0.42870819554025996,0.22344258103073375,21.533098515274627,E,I+LL,False
36,284.04617630892244,19.45390886531756,S,-0.9407283486572663,0.17222561717172752,46.025549004731936,W,I+LL,False
